Retailer Name,Retailer Base URI,CDR Brand
1st Energy,https://cdr.energymadeeasy.gov.au/1st-energy/,1st-energy
ActewAGL,https://cdr.energymadeeasy.gov.au/actewagl/,actewagl
Active Utilities Retail,https://cdr.energymadeeasy.gov.au/active-utilities/,active-utilities
AGL,https://cdr.energymadeeasy.gov.au/agl/,agl
Alinta,https://cdr.energymadeeasy.gov.au/alinta/,alinta
Altogether,https://cdr.energymadeeasy.gov.au/altogether/,altogether
Amber Electric,https://cdr.energymadeeasy.gov.au/amber/,amber
Ampol Energy,https://cdr.energymadeeasy.gov.au/ampol/,ampol
Arc Energy Group,https://cdr.energymadeeasy.gov.au/arc-energy/,arc-energy
ARCLINE by RACV,https://cdr.energymadeeasy.gov.au/arcline/,arcline
Arcstream,https://cdr.energymadeeasy.gov.au/arcstream/,arcstream
Aurora Energy,https://cdr.energymadeeasy.gov.au/aurora/,aurora
Besy,https://cdr.energymadeeasy.gov.au/besy/,besy
Blue NRG,https://cdr.energymadeeasy.gov.au/blue-nrg/,blue-nrg
Brighte Energy,https://cdr.energymadeeasy.gov.au/brighte/,brighte
Circular Energy,https://cdr.energymadeeasy.gov.au/circular/,circular
CleanCo Queensland,https://cdr.energymadeeasy.gov.au/cleanco/,cleanco
CleanPeak Energy Retail,https://cdr.energymadeeasy.gov.au/cleanpeak/,cleanpeak
Coles Energy,https://cdr.energymadeeasy.gov.au/coles/,coles
Cooperative Power,https://cdr.energymadeeasy.gov.au/energy-locals/,cooperative
CovaU,https://cdr.energymadeeasy.gov.au/covau/,covau
CPE Mascot,https://cdr.energymadeeasy.gov.au/cpe-mascot/,cpe-mascot
Diamond Energy,https://cdr.energymadeeasy.gov.au/diamond/,diamond
Discover Energy,https://cdr.energymadeeasy.gov.au/discover/,discover
Dodo Power & Gas,https://cdr.energymadeeasy.gov.au/dodo/,dodo
Electricity in a Box,https://cdr.energymadeeasy.gov.au/electricity-in-a-box/,electricity-in-a-box
Ellis Air Connect,https://cdr.energymadeeasy.gov.au/ea-connect/,ea-connect
Energy Locals,https://cdr.energymadeeasy.gov.au/energy-locals/,energy-locals
EnergyAustralia,https://cdr.energymadeeasy.gov.au/energyaustralia/,energyaustralia
ENGIE,https://cdr.energymadeeasy.gov.au/engie/,engie
Ergon Energy,https://cdr.energymadeeasy.gov.au/ergon/,ergon
Evergy,https://cdr.energymadeeasy.gov.au/evergy/,evergy
Flipped Energy,https://cdr.energymadeeasy.gov.au/flipped/,flipped
Flow Power,https://cdr.energymadeeasy.gov.au/flow-power/,flow-power
Flow Systems,https://cdr.energymadeeasy.gov.au/flow-systems/,flow-systems
Future X Power,https://cdr.energymadeeasy.gov.au/future-x/,future-x
Future X Power,https://cdr.energymadeeasy.gov.au/future-x/,sunswitch
GEE Energy,https://cdr.energymadeeasy.gov.au/gee-energy/,gee-energy
GloBird Energy,https://cdr.energymadeeasy.gov.au/globird/,globird
Glow Power,https://cdr.energymadeeasy.gov.au/glow-power/,glow-power
Humenergy Group,https://cdr.energymadeeasy.gov.au/humenergy/,humenergy
iGENO,https://cdr.energymadeeasy.gov.au/igeno/,igeno
Indigo Power,https://cdr.energymadeeasy.gov.au/energy-locals/,indigo
iO Energy Retail Services,https://cdr.energymadeeasy.gov.au/io-energy/,io-energy
Kogan Energy,https://cdr.energymadeeasy.gov.au/kogan/,kogan
Locality Planning Energy,https://cdr.energymadeeasy.gov.au/locality-planning/,locality-planning
